name,socket,form_factor
ASRock Fatal1ty B450 GAMING K4,AM4,ATX
Asus TUF Z370 Plus Gaming,LGA1151,ATX
MSI B150 Gaming M3,LGA1151,ATX
Asus TUF X470-PLUS GAMING,AM4,ATX
Asus M5A99FX PRO R2.0,AM3+,ATX
Gigabyte GA-970A-DS3P,AM3+,ATX
Asus ProArt B760-CREATOR,LGA1700,ATX
Gigabyte Z790 AORUS TACHYON,LGA1700,EATX
Asus Z87-Pro,LGA1150,ATX
Gigabyte B560 HD3,LGA1200,ATX
Asus ROG STRIX Z390-H GAMING,LGA1151,ATX
ASRock B550 PG Riptide,AM4,ATX
Gigabyte Z370 AORUS Gaming 5 (rev. 1.0),LGA1151,ATX
Gigabyte Z590 VISION D,LGA1200,ATX
Asus H170-PRO,LGA1151,ATX
MSI MEG Z390 ACE,LGA1151,ATX
Gigabyte B660 DS3H AC DDR4,LGA1700,ATX
Gigabyte GA-AB350-Gaming,AM4,ATX
ASRock X570 Creator,AM4,ATX
MSI MEG B550 UNIFY-X,AM4,ATX
Asus Sabertooth Z77,LGA1155,ATX
Gigabyte Z590 AORUS ELITE,LGA1200,ATX
Asus Z170-P,LGA1151,ATX
Gigabyte Z490 AORUS ELITE AC,LGA1200,ATX
ASRock B560 Pro4,LGA1200,ATX
ASRock X470 Taichi,AM4,ATX
Gigabyte Z490 AORUS PRO AX,LGA1200,ATX
ASRock Z690 Taichi Razer Edition,LGA1700,ATX
Gigabyte X570 AORUS PRO,AM4,ATX
ASRock Z590 PG Velocita,LGA1200,ATX
Asus Z170-E,LGA1151,ATX
MSI Z370 GAMING PRO CARBON,LGA1151,ATX
Asus ROG STRIX Z490-F GAMING,LGA1200,ATX
Asus PRIME B460-PLUS,LGA1200,ATX
Asus ROG STRIX B360-F GAMING,LGA1151,ATX
Asus H110-PLUS,LGA1151,ATX
MSI B350 GAMING PLUS,AM4,ATX
MSI PRO Z790-P DDR4,LGA1700,ATX
Asus X99-A,LGA2011-3,ATX
Asus ROG MAXIMUS XII FORMULA,LGA1200,ATX
Asus PRIME Z370-A II,LGA1151,ATX
Gigabyte X570S AORUS PRO AX,AM4,ATX
Gigabyte B360 AORUS Gaming 3 WIFI,LGA1151,ATX
Asus TUF Z390-PRO GAMING,LGA1151,ATX
MSI MAG Z690 TORPEDO,LGA1700,ATX
Gigabyte Z690 UD AX,LGA1700,ATX
